,Title,Author,Genre,Publish Date,Publisher,Format,Illustrator,Total Pages,Rating,Status (Read or Not),MSRP ,Special Edition?,ISBN
110,Dragon Ball Z Vol. 7,Akira Toriyama,Shonen,"March 12th, 2003",VIZ Media LLC,Paperback,Akira Toriyama,177,4.4/5,Yes,$9.99,No,978-1-56931-936-9
111,Dragon Ball Z Vol. 8,Akira Toriyama,Shonen,"May 7th, 2003",VIZ Media LLC,Paperback,Akira Toriyama,179,4.8/5,Yes,$9.99,No,978-1-56931-937-6
112,Dragon Ball Z Vol. 9,Akira Toriyama,Shonen,"May 7th, 2003",VIZ Media LLC,Paperback,Akira Toriyama,187,4.5/5,Yes,$9.99,No,978-1-56931-938-3
113,Dragon Ball Z Vol. 10,Akira Toriyama,Shonen,"May 7th, 2003",VIZ Media LLC,Paperback,Akira Toriyama,185,4.9/5,Yes,$9.99,No,978-1-56931-939-0
114,Dragon Ball Z Vol. 11,Akira Toriyama,Shonen,"May 7th, 2003",VIZ Media LLC,Paperback,Akira Toriyama,187,5.0/5,Yes,$9.99,No,978-1-56931-807-2
115,Dragon Ball Z Vol. 12,Akira Toriyama,Shonen,"August 6th, 2003",VIZ Media LLC,Paperback,Akira Toriyama,181,5.0/5,Yes,$9.99,No,978-1-56931-985-7
116,Dragon Ball Z Vol. 13,Akira Toriyama,Shonen,"October 8th, 2003",VIZ Media LLC,Paperback,Akira Toriyama,183,4.5/5,Yes,$9.99,No,978-1-56931-986-4
117,Dragon Ball Z Vol. 14,Akira Toriyama,Shonen,"December 31st, 2003",VIZ Media LLC,Paperback,Akira Toriyama,183,4.3/5,Yes,$9.99,No,978-1-59116-180-6
118,Dragon Ball Z Vol. 15,Akira Toriyama,Shonen,"April 14th, 2004",VIZ Media LLC,Paperback,Akira Toriyama,183,4.5/5,Yes,$9.99,No,978-1-59116-186-8
119,Dragon Ball Z Vol. 16,Akira Toriyama,Shonen,"July 14th, 2004",VIZ Media LLC,Paperback,Akira Toriyama,175,4.8/5,Yes,$9.99,No,978-1-59116-328-2
120,Dragon Ball Z Vol. 17,Akira Toriyama,Shonen,"October 12th, 2004",VIZ Media LLC,Paperback,Akira Toriyama,184,4.75/5,Yes,$9.99,No,978-1-59116-505-7
